,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Zack Greinke,37.0,15.057,62065201621,34416667,35721428,35721428,FREE AGENT,,,,
1,Justin Verlander,37.6,14.002,266202021,33000000,33000000,33000000,FREE AGENT,,,,
2,Jose Altuve,30.4,8.072,71635201824,23357143,29000000,29000000,29000000,29000000,29000000,FREE AGENT,
3,Alex Bregman,26.5,3.070,5100202024,20000000,13000000,13000000,13000000,30500000,30500000,FREE AGENT,
4,Michael Brantley,33.4,9.131,232201920,16000000,16000000,FREE AGENT,,,,,
5,Josh Reddick,33.6,9.050,452201720,13000000,13000000,FREE AGENT,,,,,
6,Ryan Pressly,31.8,6.039,21752020212022,8750000,8750000,8750000,10000000,,,,
7,Yuli Gurriel,36.3,3.043,18320201720212022,8300000,8300000,6500000,8000000,,,,
8,Martín Maldonado,34.1,7.156,27202021,3500000,3500000,3500000,FREE AGENT,,,,
9,Brooks Raley,32.3,0.045,1120202021,1000000,1000000,2000000,,,,,
10,Joe Smith,36.5,12.091,282020212020,,0,4000000,FREE AGENT,,,,
