,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Dustin Garneau,33.1,1.140,16502020,650000,650000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
1,Josh James,27.6,1.030,159072020,,590700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Austin Pruitt,31.1,1.125,158492020,,584900,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Yordan Alvarez,23.3,0.113,16072020,,607000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
4,Framber Valdez,26.9,0.163,158222020,,582200,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
5,José Urquidy,25.4,0.049,157462020,,574600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Kyle Tucker,23.7,0.079,156872020,,568700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Cristian Javier,23.5,0.000,156852020,,568500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Blake Taylor,25.1,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,,,,,3944500,,,,,,
