,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Mike Trout,33.6,11.070,124265201930,35541667,37116667,37116667,37116667,37116667,37116667,37116667,37116667
1,Anthony Rendon,34.8,9.130,7245202026,35000000,38571429,38571429,38571429,38571429,FREE AGENT,,
2,Shohei Ohtani,30.7,5.000,1302023,30000000,30000000,FREE AGENT,,,,,
3,Tyler Anderson,35.2,7.065,339202325,13000000,13000000,13000000,13000000,FREE AGENT,,,
4,Eduardo Escobar,36.2,10.128,220202223,10000000,9500000,9000000,,,,,
5,Randal Grichuk,33.6,8.033,552201923,9333333,10333333,FREE AGENT,,,,,
6,Aaron Loup,37.3,10.040,217202223,8500000,7500000,7500000,,,,,
7,Brandon Drury,32.6,6.001,217202324,8500000,8500000,8500000,FREE AGENT,,,,
8,C.J. Cron,35.2,8.097,2145202223,7500000,7500000,FREE AGENT,,,,,
9,Carlos Estévez,32.2,6.022,2135202324,6750000,6750000,6750000,FREE AGENT,,,,
10,David Fletcher,30.8,4.111,526202125202627,5200000,6000000,6000000,6500000,8000000,8500000,,
11,Max Stassi,34.0,6.049,3165592022242023,4892437,6059140,7000000,7500000,,,,
12,Brett Phillips,30.8,3.013,1122023,1200000,1200000,ARB 3,ARB 4,FREE AGENT,,,
13,Mike Moustakas,36.5,11.111,17202023,720000,720000,FREE AGENT,,,,,
