,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,José Suarez,27.2,2.084,17502023,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jimmy Herget,31.5,2.079,17502023,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,José Quijada,29.4,2.046,17502023,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Reid Detmers,25.7,1.059,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Andrew Wantz,29.5,1.065,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Matt Thaiss,29.9,1.038,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Mickey Moniak,26.9,1.056,17202023,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Logan O'Hoppe,25.1,0.008,17302023,,730000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Zach Neto,24.1,,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,2160000,,,,,,,,,,
