,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Justin Verlander,42.1,16.002,2502022,25000000,25000000,25000000,,,,,
1,Jose Altuve,34.9,10.072,71635201824,23357143,29000000,29000000,29000000,FREE AGENT,,,
2,Alex Bregman,31.0,5.070,5100202024,20000000,13000000,30500000,30500000,FREE AGENT,,,
3,Lance McCullers Jr.,31.5,6.140,585202226,17000000,15950000,15950000,17700000,17700000,17700000,FREE AGENT,
4,Michael Brantley,37.9,11.131,232202122,16000000,16000000,FREE AGENT,,,,,
5,Will Smith,35.7,8.155,340202022,13333333,13000000,13000000,,,,,
6,Ryan Pressly,36.3,8.039,32752020222422023242025,10000000,10000000,14000000,14000000,14000000,,,
7,Héctor Neris,35.8,6.068,3245202223,8166667,8000000,8000000,8500000,,,,
8,Yuli Gurriel,40.8,5.043,2145202122,8000000,8000000,FREE AGENT,,,,,
9,Trey Mancini,33.0,5.015,17752022,7750000,7500000,10000000,,,,,
10,Christian Vázquez,34.6,7.031,4203201922,7000000,7000000,FREE AGENT,,,,,
11,Martín Maldonado,38.6,9.156,19520222023,5000000,5000000,4500000,,,,,
12,Jason Castro,37.8,11.104,27202122,3500000,3500000,FREE AGENT,,,,,
13,Yordan Alvarez,27.7,2.113,1764620226115202328,764600,764600,7833333,10833333,15833333,26833333,26833333,26833333
