,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Kyle Tucker,28.2,2.079,176422022,,764200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Cristian Javier,28.0,2.000,174912022,,749100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Blake Taylor,29.6,2.000,173182022,,731800,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,José Urquidy,29.9,2.049,"1 yr, TBD (2022)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Luis Garcia,28.3,1.083,112522022,,1251500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Chas McCormick,29.9,1.000,173082022,,730800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Bryan Abreu,27.9,1.022,171962022,,719600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Mauricio Dubón,30.7,1.142,17152022,,715000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Jeremy Peña,27.5,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,3500000,,,,,,,,,,
