,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Elvis Andrus,36.6,12.000,8120201522,15000000,14000000,14400000,15000000,,,,
1,Starling Marte,36.5,7.162,853201421,12500000,12500000,FREE AGENT,,,,,
2,Trevor Rosenthal,34.8,7.001,1112021,11000000,11000000,FREE AGENT,,,,,
3,Stephen Piscotty,34.2,5.076,6335201722,5583333,7583333,7583333,15000000,,,,
4,Yan Gomes,37.7,8.083,210202021,5000000,6000000,FREE AGENT,,,,,
5,Jake Diekman,38.2,8.050,275202021,3750000,4000000,4000000,,,,,
6,Mike Fiers,39.8,7.085,1352021,3500000,3500000,FREE AGENT,,,,,
7,Andrew Chafin,34.8,6.020,12752021,2750000,2250000,5250000,,,,,
8,Yusmeiro Petit,40.3,10.016,12552021,2550000,2550000,FREE AGENT,,,,,
9,Sergio Romo,42.1,12.097,12252021,2250000,2250000,FREE AGENT,,,,,
10,Mitch Moreland,39.6,10.067,12252021,2250000,2250000,FREE AGENT,,,,,
11,Jed Lowrie,40.9,12.111,1152021,1500000,1500000,FREE AGENT,,,,,
12,Josh Harrison,37.7,8.168,112021,1000000,1000000,FREE AGENT,,,,,
13,Khris Davis,37.3,7.104,110122021,101218,101218,FREE AGENT,,,,,
