,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Jordan Hicks,28.6,5.000,118382023,,1837500,FREE AGENT,,,,,
1,Danny Jansen,29.9,4.050,1352023,,3500000,ARB 3,FREE AGENT,,,,
2,Adam Cimber,34.6,4.156,13152023,,3150000,ARB 3,FREE AGENT,,,,
3,Trevor Richards,31.9,4.084,1152023,,1500000,ARB 3,FREE AGENT,,,,
4,Vladimir Guerrero Jr.,26.0,3.157,11452023,,14500000,ARB 2,ARB 3,FREE AGENT,,,
5,Jordan Romano,31.9,3.051,145382023,,4537500,ARB 2,ARB 3,FREE AGENT,,,
6,Cavan Biggio,30.0,3.129,1282023,,2800000,ARB 2,ARB 3,FREE AGENT,,,
7,Tim Mayza,33.2,3.156,1212023,,2100000,ARB 2,ARB 3,FREE AGENT,,,
8,Erik Swanson,31.6,3.096,11252023,,1250000,ARB 2,ARB 3,FREE AGENT,,,
9,Génesis Cabrera,28.5,3.011,19502023,,950000,ARB 2,ARB 3,FREE AGENT,,,
10,Daulton Varsho,28.7,2.128,13052023,,3050000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
11,Santiago Espinal,30.4,2.149,1212023,,2100000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
