,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,George Springer,35.5,10.166,6150202126,25000000,24166667,24166667,FREE AGENT,,,,
1,Kevin Gausman,34.2,10.151,5110202226,22000000,23000000,23000000,FREE AGENT,,,,
2,Chris Bassitt,36.1,8.130,363202325,21000000,22000000,FREE AGENT,,,,,
3,Andrés Giménez,26.6,4.106,710652023292030,19371429,10571429,15571429,23571429,23571429,23571429,23000000,
4,José Berríos,30.8,8.044,71312022282026,18714286,18714286,18714286,24714286,24714286,FREE AGENT,,
5,Max Scherzer,40.7,16.079,11552025,15500000,15500000,FREE AGENT,,,,,
6,Anthony Santander,30.4,6.162,592520252920302027,14314441,18000000,21000000,21000000,14750000,12750000,15000000,
7,Bo Bichette,27.1,5.063,3336202325,11200000,17583333,FREE AGENT,,,,,
8,Jeff Hoffman,32.2,6.084,333202527,11000000,7666667,12666667,12666667,FREE AGENT,,,
9,Chad Green,33.8,8.050,32325202325,10500000,10500000,FREE AGENT,,,,,
10,Myles Straw,30.4,4.125,525202226202728,7775000,6400000,7400000,8000000,8500000,,,
11,Yimi García,34.6,9.149,215202526,7500000,7500000,7500000,FREE AGENT,,,,
12,Yariel Rodríguez,28.0,1.000,532202427202810,6400000,7000000,7000000,8000000,6000000,,,
13,Alejandro Kirk,26.4,4.047,1462025558202630,4600000,4600000,11600000,11600000,11600000,11600000,11600000,FREE AGENT
14,Jacob Barnes,34.9,6.100,1142025,1400000,1400000,FREE AGENT,,,,,
