,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,A.J. Cole,28.8,2.124,18502020,,850000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Teoscar Hernández,28.0,2.097,16022020,,602200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Wilmer Font,30.4,2.085,15922020,,592000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Trent Thornton,27.0,1.000,15822020,,581900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Danny Jansen,25.5,1.050,15812020,,580900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Rowdy Tellez,25.6,1.012,157962020,,579600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Ryan Borucki,26.5,1.088,15742020,,573800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Vladimir Guerrero Jr.,21.6,0.157,15792020,,579300,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
8,Cavan Biggio,25.5,0.129,15772020,,576600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Bo Bichette,22.6,0.063,15702020,,570000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Jordan Romano,27.5,0.051,156782020,,567800,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Julian Merryweather,29.0,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
12,Nate Pearson,24.1,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
13,Estimated salaries for other pre-arbitration players,,,,,2817500,,,,,,
