,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Jorge Soler,33.1,5.143,18052021,,8050000,FREE AGENT,,,,,
1,Dansby Swanson,31.1,4.047,162021,,6000000,ARB 3,FREE AGENT,,,,
2,Luke Jackson,33.6,4.019,1182021,,1800000,ARB 3,FREE AGENT,,,,
3,Grant Dayton,37.3,4.007,19002021,,900000,ARB 3,FREE AGENT,,,,
4,Orlando Arcia,30.6,4.047,122021,,2000000,ARB 3,ARB 4,FREE AGENT,,,
5,Richard Rodríguez,35.1,3.016,1172021,,1700000,ARB 2,ARB 3,FREE AGENT,,,
6,Guillermo Heredia,34.1,3.112,112021,,1000000,ARB 2,ARB 3,FREE AGENT,,,
7,Max Fried,31.2,2.148,1352021,,3500000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
8,Michael Soroka,27.6,2.146,1282021,,2800000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
9,Johan Camargo,31.3,3.098,11362021,,1360000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
10,A.J. Minter,31.6,2.162,1132021,,1300000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
