,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Austin Riley,28.0,5.138,102122023322033,21200000,22000000,22000000,22000000,22000000,22000000,22000000,22000000
1,Matt Olson,31.0,7.103,81682022292030,21000000,22000000,22000000,22000000,22000000,22000000,20000000,
2,Chris Sale,36.0,14.061,2382024252026,19000000,22000000,18000000,,,,,
3,Marcell Ozuna,34.4,11.124,580202125,16000000,16000000,FREE AGENT,,,,,
4,Raisel Iglesias,35.2,9.154,458202225,16000000,16000000,FREE AGENT,,,,,
5,Jurickson Profar,32.1,10.165,342202527,14000000,12000000,15000000,15000000,FREE AGENT,,,
6,Ronald Acuña Jr.,27.3,6.159,8100201926202728,12500000,17000000,17000000,17000000,17000000,,,
7,Spencer Strider,26.4,3.003,6752023282029,12500000,4000000,20000000,22000000,22000000,22000000,,
8,Sean Murphy,30.5,5.029,6732023282029,12166667,15000000,15000000,15000000,15000000,15000000,,
9,Reynaldo López,31.2,7.004,330202527,10000000,8000000,14000000,8000000,FREE AGENT,,,
10,Michael Harris II,24.1,3.000,872202330203132,9000000,8000000,8000000,9000000,10000000,10000000,12000000,15000000
11,Joe Jiménez,30.2,7.061,326202426,8666667,9000000,9000000,FREE AGENT,,,,
12,Pierce Johnson,33.9,5.137,214252024252026,7125000,7000000,7000000,,,,,
13,Aaron Bummer,31.5,6.150,213202526,6500000,3500000,9500000,FREE AGENT,,,,
14,Ozzie Albies,28.2,7.062,735201925202627,5000000,7000000,7000000,7000000,,,,
15,Orlando Arcia,30.6,7.114,3732023252026,2433333,2000000,2000000,,,,,
16,Héctor Neris,35.8,9.068,122025,2000000,2000000,FREE AGENT,,,,,
17,Alex Verdugo,28.9,6.078,1152025,1500000,1500000,FREE AGENT,,,,,
