,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Christian Yelich,33.3,7.069,92152020282029,23888889,14000000,26000000,26000000,26000000,26000000,26000000,26000000
1,Lorenzo Cain,39.0,8.099,580201822,16000000,17000000,18000000,FREE AGENT,,,,
2,Jackie Bradley Jr.,34.9,6.150,224202122,12000000,6500000,9500000,12000000,,,,
3,Avisaíl García,33.8,7.167,2195202021,9750000,10750000,12000000,,,,,
4,Kolten Wong,34.5,7.045,326202123,8666667,7500000,8500000,10000000,,,,
5,Eduardo Escobar,36.2,8.128,321201921,7000000,7666667,FREE AGENT,,,,,
6,Freddy Peralta,28.8,2.090,622202025202526,3100000,1234960,2484960,3734960,5734960,8000000,8000000,
7,Brett Anderson,37.1,11.135,1252021,2500000,2500000,FREE AGENT,,,,,
8,Brad Boxberger,36.8,7.033,197320211,972973,972973,FREE AGENT,,,,,
9,Hunter Strickland,36.5,5.033,1956820211,956756,956756,FREE AGENT,,,,,
10,Jace Peterson,34.9,4.149,149652021,496489,496489,ARB 3,FREE AGENT,,,,
11,John Axford,42.0,8.118,"1 yr, TBD (2021)",,TBD,FREE AGENT,,,,,
