,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,William Contreras,27.3,2.112,176692024,,766900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Trevor Megill,31.3,2.002,175662024,,756600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Nick Mears,28.5,2.022,17502024,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Blake Perkins,28.5,0.133,18002024,,800000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Garrett Mitchell,26.6,1.040,174432024,,744300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,DL Hall,26.5,0.074,174422024,,744200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Bryan Hudson,27.9,0.017,174172024,,741700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Jared Koenig,31.2,0.046,17322024,,732000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Brice Turang,25.3,0.165,174822024,,748200,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
9,Sal Frelick,24.9,0.072,174652024,,746500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Joey Ortiz,26.7,0.030,174152024,,741500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Tobias Myers,26.6,0.000,17402024,,740000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
12,Estimated salaries for other pre-arbitration players,2220000,,,,,,,,,,
