,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Nolan Arenado,33.9,7.155,9275201927,30555556,35000000,35000000,35000000,35000000,32000000,27000000,15000000
1,Paul Goldschmidt,37.5,9.059,5130202024,26000000,26000000,26000000,26000000,26000000,FREE AGENT,,
2,Matt Carpenter,39.3,9.012,239202021,19500000,18500000,18500000,,,,,
3,Miles Mikolas,36.6,4.037,468202023,17000000,17000000,17000000,17000000,FREE AGENT,,,
4,Andrew Miller,39.8,12.062,3345201921,12000000,12000000,FREE AGENT,,,,,
5,Carlos Martinez,33.5,7.073,551201721,10200000,11700000,17000000,FREE AGENT,,,,
6,Yadier Molina,42.7,16.123,1920211102022,9000000,9000000,10000000,FREE AGENT,,,,
7,J.A. Happ,42.4,12.047,182021,8000000,8000000,FREE AGENT,,,,,
8,Adam Wainwright,43.6,15.027,182021,8000000,8000000,FREE AGENT,,,,,
9,Jon Lester,41.2,14.075,152021,5000000,5000000,FREE AGENT,,,,,
10,Paul DeJong,31.6,3.127,626201823,4333333,4166667,6166667,9166667,12500000,15000000,,
11,Kwang Hyun Kim,36.7,1.000,28202021,4000000,4000000,FREE AGENT,,,,,
12,T.J. McFarland,35.8,6.164,"1 yr, TBD (2021)",,TBD,FREE AGENT,,,,,
13,Luis García,38.2,5.092,"1 yr, TBD (2021)",,TBD,FREE AGENT,,,,,
