,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Lars Nootbaar,27.5,2.076,17612024,,761000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Brendan Donovan,28.2,2.000,175722024,,757200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Andre Pallante,26.5,1.166,175692024,,756900,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Nolan Gorman,24.9,1.139,175562024,,755550,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Alec Burleson,26.3,1.029,175012024,,750050,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Iván Herrera,24.8,0.063,174322024,,743150,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Michael Siani,25.7,0.033,174172024,,741650,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Ryan Fernandez,26.8,,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Masyn Winn,23.0,0.045,174232024,,742250,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,7400000,,,,,,,,,,
