,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Yency Almonte,30.8,4.143,1192024,,1900000,ARB 3,FREE AGENT,,,,
1,Christian Bethancourt,33.6,4.038,18002024,,800000,ARB 3,FREE AGENT,,,,
2,Patrick Wisdom,33.6,3.058,127252024,,2725000,ARB 2,ARB 3,FREE AGENT,,,
3,Adbert Alzolay,30.1,3.050,12112024,,2110000,ARB 2,ARB 3,FREE AGENT,,,
4,Mike Tauchman,34.3,3.143,11952024,,1950000,ARB 3,ARB 4,FREE AGENT,,,
5,Nick Madrigal,28.1,3.164,11812024,,1810000,ARB 2,ARB 3,FREE AGENT,,,
6,Julian Merryweather,33.4,3.109,111752024,,1175000,ARB 2,ARB 3,FREE AGENT,,,
7,Nate Pearson,28.6,3.005,18002024,,800000,ARB 2,ARB 3,FREE AGENT,,,
8,Justin Steele,29.7,2.143,142024,,4000000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
9,Isaac Paredes,26.1,2.160,1342024,,3400000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
