,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Jon Lester,36.7,13.075,61552015202021,25833333,20000000,25000000,,,,,
1,Jason Heyward,31.2,10.000,8184201623,23000000,23500000,23500000,24500000,24500000,FREE AGENT,,
2,Yu Darvish,34.1,8.000,6126201823,21000000,22000000,22000000,19000000,18000000,FREE AGENT,,
3,Anthony Rizzo,31.2,7.168,85552013202021,16500000,16500000,16500000,,,,,
4,Craig Kimbrel,32.4,8.161,3432019212022,14333333,16000000,16000000,16000000,,,,
5,Kyle Hendricks,30.8,5.081,45552020232024,13875000,12000000,14000000,14000000,14000000,16000000,,
6,Tyler Chatwood,30.8,8.039,338201820,12666667,13000000,FREE AGENT,,,,,
7,Jose Quintana,31.7,7.133,7485201420,11500000,11500000,FREE AGENT,,,,,
8,Andrew Chafin,30.3,5.020,130452020,3045000,3045000,FREE AGENT,,,,,
9,David Bote,27.5,1.100,515202024202526,3000000,960000,1010000,2510000,4010000,5510000,7000000,7600000
10,Daniel Descalso,34.0,9.016,252019202021,2500000,2500000,3500000,,,,,
11,José A. Martínez,32.2,3.027,2325201920,1625000,2125000,ARB 2,ARB 3,FREE AGENT,,,
12,Cameron Maybin,33.5,10.059,1152020,1500000,1500000,FREE AGENT,,,,,
13,Jason Kipnis,33.5,8.069,112020,1000000,1000000,FREE AGENT,,,,,
14,Jeremy Jeffress,33.0,6.090,18502020,850000,850000,FREE AGENT,,,,,
