,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Mark Leiter Jr.,34.0,2.031,18502023,,850000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Patrick Wisdom,33.6,2.058,17632023,,763000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Adbert Alzolay,30.1,2.050,174482023,,744750,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Julian Merryweather,33.4,2.109,17372023,,737000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Keegan Thompson,30.0,1.131,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Justin Steele,29.7,1.143,17402023,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Brandon Hughes,29.3,0.141,17282023,,728000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Hayden Wesneski,27.3,0.031,172152023,,721500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Christopher Morel,25.8,0.142,"1 yr, TBD (2023)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,6480000,,,,,,,,,,
