,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Madison Bumgarner,31.2,9.127,585202024,17000000,6000000,19000000,23000000,23000000,14000000,FREE AGENT,
1,Nick Ahmed,30.6,5.054,4325202023,8125000,6375000,7875000,7875000,10375000,FREE AGENT,,
2,Kole Calhoun,33.0,6.130,2162020212022,8000000,6000000,8000000,9000000,,,,
3,David Peralta,33.1,5.120,322202022,7333333,7000000,7500000,7500000,FREE AGENT,,,
4,Eduardo Escobar,31.8,7.128,321201921,7000000,7166667,7666667,FREE AGENT,,,,
5,Ketel Marte,27.0,3.162,524201822202324,4800000,4400000,6400000,8400000,11000000,13000000,,
6,Héctor Rondón,32.6,7.000,1320202021,3000000,2500000,4000000,,,,,
7,Stephen Vogt,35.9,6.064,1320202021,3000000,2500000,4000000,,,,,
8,Merrill Kelly,32.0,1.000,255201920202122,2750000,3000000,4250000,5250000,,,,
9,Junior Guerra,35.7,3.155,126520202021,2650000,2550000,3500000,ARB 4,FREE AGENT,,,
10,Jon Jay,35.6,9.134,1152020,1500000,1500000,FREE AGENT,,,,,
11,Mike Leake,32.9,10.000,58020162020212020,,0,18000000,,,,,
