,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Joe Mantiply,34.1,2.049,17562023,,756000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Kevin Ginkel,31.0,2.033,174662023,,746600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Geraldo Perdomo,25.4,1.015,173862023,,738600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Kyle Nelson,28.7,1.076,172892023,,728900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Emmanuel Rivera,28.7,1.058,17202023,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Jake McCarthy,27.7,0.170,173562023,,735600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Drey Jameson,27.6,0.021,173262023,,732600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Peter Strzelecki,30.4,0.081,172642023,,726400,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Ryne Nelson,27.1,0.031,172272023,,722700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Gabriel Moreno,25.1,0.061,172252023,,722500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,6480000,,,,,,,,,,
