,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Shohei Ohtani,30.7,6.000,10700202433,46078769,70000000,70000000,70000000,70000000,70000000,70000000,70000000
1,Tyler Glasnow,31.6,6.158,5136563202427202830,27312500,25000000,30000000,30000000,30000000,21562500,,
2,Yoshinobu Yamamoto,26.6,0.000,1232520243520292031,27083333,9166667,14166667,16166667,30166667,30166667,30166667,33166667
3,Mookie Betts,32.5,9.070,12365202132,25554824,30416667,30416667,30416667,30416667,35416667,35416667,35416667
4,Freddie Freeman,35.5,13.033,6162202227,24700000,27000000,27000000,27000000,27000000,FREE AGENT,,
5,Teoscar Hernández,32.4,6.097,12352024,20433933,23500000,FREE AGENT,,,,,
6,Chris Taylor,34.6,8.037,4602022252026,15000000,13000000,13000000,12000000,,,,
7,Jack Flaherty,29.4,6.006,1142024,14000000,14000000,FREE AGENT,,,,,
8,Will Smith,30.0,4.090,10140202433,12241285,16550000,16000000,16000000,16000000,12500000,12500000,12500000
9,Max Muncy,34.6,7.027,2242024252026,12000000,9500000,14500000,10000000,,,,
10,Kevin Kiermaier,34.9,9.131,11052024,10500000,10500000,FREE AGENT,,,,,
11,Tommy Edman,29.9,4.114,2165202425,8875000,7000000,9500000,FREE AGENT,,,,
12,Joe Kelly,36.8,11.029,182024,8000000,8000000,FREE AGENT,,,,,
13,Clayton Kershaw,37.0,15.105,2162024,8000000,6000000,10000000,,,,,
14,Miguel Rojas,36.1,9.043,3152023252025,5500000,5000000,5000000,FREE AGENT,,,,
15,Ryan Brasier,37.6,6.094,29202425,4500000,4500000,4500000,FREE AGENT,,,,
16,Enrique Hernández,33.6,9.054,142024,4000000,4000000,FREE AGENT,,,,,
17,Austin Barnes,35.2,7.098,31052023252025,3500000,3500000,3500000,FREE AGENT,,,,
18,Tony Gonsolin,30.9,3.152,2665202324,3325000,3400000,ARB 3,ARB 4,FREE AGENT,,,
19,Daniel Hudson,38.0,13.106,122024,2000000,2000000,FREE AGENT,,,,,
20,Blake Treinen,36.7,9.065,425202124,1000000,1000000,FREE AGENT,,,,,
