,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Will Smith,30.0,2.090,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Dustin May,27.6,2.059,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Edwin Ríos,30.9,2.043,17302022,,730000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Trayce Thompson,34.0,2.058,17252022,,725000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Brusdar Graterol,26.6,1.167,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Tony Gonsolin,30.9,1.152,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Victor González,29.4,1.103,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Gavin Lux,27.3,1.114,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Alex Vesia,29.0,1.103,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Evan Phillips,30.5,1.136,17202022,,720000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Estimated salaries for other pre-arbitration players,0,,,,,,,,,,
