,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Blake Snell,32.3,7.072,2622024,29698347,32000000,30000000,,,,,
1,Robbie Ray,33.5,9.007,5115202226,24333333,23000000,25000000,25000000,FREE AGENT,,,
2,Matt Chapman,31.9,6.109,11820246151202530,20000000,18000000,25166667,25166667,25166667,25166667,25166667,25166667
3,Jung Hoo Lee,26.6,0.000,61132024292027,18833333,7833333,16833333,22833333,22833333,21333333,21333333,FREE AGENT
4,Michael Conforto,32.1,7.043,236202324,18000000,18000000,FREE AGENT,,,,,
5,Logan Webb,28.4,4.044,590202428,18000000,8000000,12000000,23000000,23000000,24000000,FREE AGENT,
6,Mark Canha,36.1,8.092,336202224,11500000,11500000,FREE AGENT,,,,,
7,Taylor Rogers,34.3,7.145,333202325,11000000,12000000,12000000,FREE AGENT,,,,
8,Jordan Hicks,28.6,6.000,444202427,11000000,6500000,12500000,12500000,12500000,FREE AGENT,,
9,Wilmer Flores,33.6,10.003,31652023252025,5500000,6500000,3500000,FREE AGENT,,,,
10,Tom Murphy,34.0,6.092,28252024252026,4125000,4000000,4000000,4000000,,,,
11,Curt Casali,36.4,7.151,"1 yr, TBD (2024)",,TBD,FREE AGENT,,,,,
