,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Camilo Doval,27.7,2.071,17702024,,770000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Keaton Winn,27.1,0.053,174382024,,743750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Heliot Ramos,25.5,0.130,17422024,,742000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Randy Rodríguez,25.6,0.000,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Erik Miller,27.1,0.000,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Patrick Bailey,25.8,0.136,174752024,,747500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
6,Ryan Walker,29.3,0.136,174752024,,747500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
7,Kyle Harrison,23.6,0.041,174382024,,743750,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Tyler Fitzgerald,27.5,0.011,174192024,,741875,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
9,Estimated salaries for other pre-arbitration players,6660000,,,,,,,,,,
