,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,José Ramírez,32.5,10.074,7141202228,20142857,19000000,21000000,23000000,25000000,FREE AGENT,,
1,Shane Bieber,29.8,6.097,22620252026,13000000,10000000,16000000,,,,,
2,Carlos Santana,39.0,14.115,1122025,12000000,12000000,FREE AGENT,,,,,
3,Tanner Bibee,26.1,2.000,5482025292030,9600000,3400000,4400000,7400000,10400000,21400000,21000000,
4,Paul Sewald,34.8,6.072,1720252026,7000000,6000000,10000000,,,,,
5,Jakob Junis,32.5,7.002,1452025,4500000,4500000,FREE AGENT,,,,,
6,Emmanuel Clase,27.0,4.059,520202226202728,4000000,4900000,6400000,10000000,10000000,,,
7,Austin Hedges,32.6,8.166,142025,4000000,4000000,FREE AGENT,,,,,
8,Trevor Stephan,29.3,4.000,410202326202728,2500000,2300000,3500000,7250000,7500000,,,
9,John Means,31.9,6.007,1120252026,1000000,1000000,6000000,,,,,
