,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Adam Cimber,30.1,2.000,158152020,,581500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Phil Maton,27.5,2.047,157212020,,572100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Shane Bieber,25.4,1.097,16232020,,623200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Franmil Reyes,25.3,1.115,15862020,,586400,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
4,Jordan Luplow,27.0,1.112,157452020,,574500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Bradley Zimmer,27.9,2.036,156972020,,569700,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Óscar Mercado,25.8,0.139,15732020,,573400,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
7,Cal Quantrill,25.0,0.132,15722020,,571800,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
8,Josh Naylor,23.3,0.129,156852020,,568500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Aaron Civale,25.3,0.058,156542020,,565400,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,James Karinchak,25.0,0.017,156372020,,563700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Zach Plesac,25.7,0.125,12020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Estimated salaries for other pre-arbitration players,,,,,5635000,,,,,,
