,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Adam Frazier,33.3,5.075,182022,,8000000,FREE AGENT,,,,,
1,Mitch Haniger,34.3,5.048,17752022,,7750000,FREE AGENT,,,,,
2,Curt Casali,36.4,5.151,1262022,,2600000,FREE AGENT,,,,,
3,Tom Murphy,34.0,4.092,115752022,,1575000,ARB 3,FREE AGENT,,,,
4,Diego Castillo,31.2,3.118,12152022,,2150000,ARB 2,ARB 3,FREE AGENT,,,
5,Paul Sewald,34.8,3.072,117352022,,1735000,ARB 2,ARB 3,FREE AGENT,,,
6,Dylan Moore,32.6,3.000,11352022,,1350000,ARB 2,ARB 3,FREE AGENT,,,
7,Casey Sadler,34.7,3.035,110252022,,1025000,ARB 2,ARB 3,FREE AGENT,,,
8,Ryan Borucki,31.0,3.060,18252022,,825000,ARB 2,ARB 3,FREE AGENT,,,
9,Luis Torrens,28.9,2.118,1122022,,1200000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
