,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Kyle Seager,37.4,9.085,7102201521,14571429,18500000,20000000,,,,,
1,Yusei Kikuchi,33.8,2.000,456201921,14000000,17000000,13000000,ARB 2,ARB 3,FREE AGENT,,
2,James Paxton,36.4,6.151,1852021,8500000,8500000,FREE AGENT,,,,,
3,Marco Gonzales,33.1,3.102,430202124,7500000,5250000,5750000,6750000,12250000,15000000,,
4,Chris Flexen,30.7,0.107,31275202123,4250000,1600000,2950000,8200000,,,,
5,Joe Smith,41.0,12.091,24202021,4000000,4000000,FREE AGENT,,,,,
6,Evan White,28.9,1.000,624202025202628,4000000,1300000,1400000,3000000,7000000,8000000,10000000,11000000
7,Ken Giles,34.5,6.113,27202122,3500000,1250000,5250000,9500000,,,,
8,Tyler Anderson,35.2,5.065,1252021,2500000,2500000,FREE AGENT,,,,,
9,Sean Doolittle,38.5,8.122,1152021,1500000,1500000,FREE AGENT,,,,,
10,Héctor Santiago,37.3,7.101,"1 yr, TBD (2021)",,TBD,FREE AGENT,,,,,
