,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Cal Raleigh,28.3,2.085,17952024,,795000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Tayler Saucedo,31.8,2.112,175312024,,753100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,George Kirby,27.1,1.151,179862024,,798600,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Matt Brash,26.9,1.121,175762024,,757600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Luke Raley,30.5,1.106,175422024,,754200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Gabe Speier,30.0,2.030,175332024,,753300,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Gregory Santos,25.6,1.055,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Collin Snider,29.5,0.167,174732024,,747300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Bryce Miller,26.6,0.153,175262024,,752600,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
9,Bryan Woo,25.2,0.121,17492024,,749000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,3700000,,,,,,,,,,
