,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Josh Bell,32.6,6.053,233202324,16500000,16500000,16500000,FREE AGENT,,,,
1,Avisaíl García,33.8,9.167,453202225,13250000,12000000,12000000,12000000,12000000,,,
2,Jorge Soler,33.1,7.143,227202224,12000000,15000000,,FREE AGENT,,,,
3,Sandy Alcantara,29.5,4.100,5562022262027,11200000,6300000,9300000,17300000,17300000,21000000,,
4,Matt Barnes,34.8,7.110,21875202223,10875000,8375000,8000000,,,,,
5,David Robertson,40.0,13.119,1102023,10000000,10000000,FREE AGENT,,,,,
6,Johnny Cueto,39.1,14.143,1852023,8500000,6000000,10500000,,,,,
7,Matt Moore,35.8,10.000,17552023,7550000,7550000,FREE AGENT,,,,,
8,Jon Berti,35.2,3.168,257252023242024,2125000,2100000,3625000,ARB 3,FREE AGENT,,,
9,Yuli Gurriel,40.8,6.043,11252023,1250000,1250000,FREE AGENT,,,,,
