,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Ryan Weathers,25.3,1.066,175262024,,752600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Braxton Garrett,27.6,1.168,17642024,,764000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
2,Edward Cabrera,27.0,1.147,17612024,,761000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Jake Burger,29.0,1.127,17602024,,760000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Nick Fortes,28.4,1.149,17592024,,759000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
5,Declan Cronin,27.5,0.066,17422024,,742000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Xavier Edwards,25.6,0.052,17422024,,742000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Eury Pérez,21.9,0.113,17482024,,748000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Calvin Faucher,29.5,0.156,17452024,,745000,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
9,Estimated salaries for other pre-arbitration players,14800000,,,,,,,,,,
