,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Michael Conforto,32.1,5.043,112252021,,12250000,FREE AGENT,,,,,
1,Javier Báez,32.3,5.089,111652021,,11650000,FREE AGENT,,,,,
2,Noah Syndergaard,32.6,5.149,1972021,,9700000,FREE AGENT,,,,,
3,Edwin Díaz,31.0,4.121,172021,,7000000,ARB 3,FREE AGENT,,,,
4,Brandon Nimmo,32.0,4.042,1472021,,4700000,ARB 3,FREE AGENT,,,,
5,Seth Lugo,35.4,4.082,129252021,,2925000,ARB 3,FREE AGENT,,,,
6,Trevor Williams,32.9,4.027,1252021,,2500000,ARB 3,FREE AGENT,,,,
7,Miguel Castro,30.3,4.079,116882021,,1687500,ARB 3,FREE AGENT,,,,
8,Robert Gsellman,31.7,4.042,1132021,,1300000,ARB 3,FREE AGENT,,,,
9,José A. Martínez,36.7,4.002,112021,,1000000,ARB 3,FREE AGENT,,,,
10,José Peraza,30.9,4.102,157052021,,570500,ARB 3,FREE AGENT,,,,
11,Dominic Smith,29.8,2.146,12552021,,2550000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
12,J.D. Davis,31.9,2.137,1212021,,2100000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
