,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Jacob deGrom,36.8,6.139,4117201923,23900000,38500000,38500000,,,,,
1,Francisco Lindor,31.4,5.113,1223202110341202231,22300000,22300000,34100000,34100000,34100000,34100000,34100000,34100000
2,Marcus Stroman,33.9,6.026,11892021,18900000,18900000,FREE AGENT,,,,,
3,Carlos Carrasco,38.0,9.147,5582019232023,11750000,12000000,12000000,14000000,FREE AGENT,,,
4,Brad Hand,35.0,7.092,11052021,10500000,10500000,FREE AGENT,,,,,
5,James McCann,34.8,6.028,4406202124,10150000,8150000,8150000,12150000,12150000,FREE AGENT,,
6,Jeurys Familia,35.5,8.023,330201921,10000000,11666667,FREE AGENT,,,,,
7,Taijuan Walker,32.6,6.142,3245202122,9000000,9000000,8000000,7500000,,,,
8,Trevor May,35.5,6.012,2155202122,7750000,7750000,7750000,FREE AGENT,,,,
9,Dellin Betances,37.0,7.078,2143202021,6800000,6800000,1000000,,,,,
10,Jonathan Villar,33.9,6.113,13552021,3550000,3550000,FREE AGENT,,,,,
11,Kevin Pillar,36.2,6.113,2652021,3250000,3600000,2900000,,,,,
12,Aaron Loup,37.3,8.040,132021,3000000,3000000,FREE AGENT,,,,,
13,Rich Hill,45.0,11.127,1252021,2500000,2500000,FREE AGENT,,,,,
14,Heath Hembree,36.2,5.106,111012021125,1101351,1101351,FREE AGENT,,,,,
15,Robinson Canó,42.4,15.076,102162014232021,,0,24000000,24000000,,,,
