,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Stephen Strasburg,32.2,9.118,7245202026,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000
1,Max Scherzer,36.2,11.079,7210201521,28689376,35921000,34503000,FREE AGENT,,,,
2,Patrick Corbin,31.2,7.105,6140201924,23333333,19416667,24416667,23416667,24416667,35416667,FREE AGENT,
3,Adam Eaton,31.8,7.030,63152015202021,9500000,9500000,10500000,,,,,
4,Aníbal Sánchez,36.6,13.083,2192019202021,9500000,9000000,12000000,,,,,
5,Will Harris,36.1,6.102,324202022,8000000,8000000,8000000,8000000,FREE AGENT,,,
6,Sean Doolittle,34.0,7.122,722201420,6500000,6500000,FREE AGENT,,,,,
7,Howie Kendrick,37.2,13.091,162520202021,6250000,4000000,6500000,,,,,
8,Starlin Castro,30.5,9.150,212202021,6000000,6000000,6000000,FREE AGENT,,,,
9,Daniel Hudson,33.6,9.106,211202021,5500000,5000000,6000000,FREE AGENT,,,,
10,Kurt Suzuki,37.0,12.113,210201920,5000000,6000000,FREE AGENT,,,,,
11,Yan Gomes,33.2,7.083,210202021,5000000,4000000,6000000,FREE AGENT,,,,
12,Eric Thames,33.9,4.063,1420202021,4000000,3000000,4000000,,,,,
13,Asdrúbal Cabrera,34.9,12.027,1252020,2500000,2500000,FREE AGENT,,,,,
14,Josh Harrison,33.2,7.168,156352020112021,563500,563500,1000000,FREE AGENT,,,,
15,Ryan Zimmerman,36.0,14.032,1220202020,,0,FREE AGENT,,,,,
