,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Josiah Gray,27.3,2.075,175742024,,757400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,MacKenzie Gore,26.1,2.000,174962024,,749600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Mason Thompson,27.1,2.046,174922024,,749200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,CJ Abrams,24.5,1.130,175242024,,752400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Jake Irvin,28.1,0.152,174562024,,745600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Jacob Young,25.7,0.037,17452024,,745000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Robert Garcia,28.8,0.086,174282024,,742800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,José Tena,24.0,0.042,17422024,,742000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Mitchell Parker,25.5,0.000,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,James Wood,22.5,,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Dylan Crews,23.1,,17402024,,740000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
11,Estimated salaries for other pre-arbitration players,9620000,,,,,,,,,,
