,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Cedric Mullins,30.5,5.078,187252025,,8725000,FREE AGENT,,,,,
1,Gregory Soto,30.1,5.102,15352025,,5350000,FREE AGENT,,,,,
2,Ryan Mountcastle,28.1,4.105,167872025,,6787000,ARB 3,FREE AGENT,,,,
3,Ramón Urías,30.8,4.025,13152025,,3150000,ARB 3,FREE AGENT,,,,
4,Trevor Rogers,27.4,4.069,1262025,,2600000,ARB 3,FREE AGENT,,,,
5,Keegan Akin,30.0,4.083,114752025,,1475000,ARB 3,FREE AGENT,,,,
6,Dylan Carlson,26.4,4.104,19752025,,975000,ARB 3,FREE AGENT,,,,
7,Adley Rutschman,27.1,3.000,1552025,,5500000,ARB 2,ARB 3,FREE AGENT,,,
8,Dean Kremer,29.2,3.112,12952025,,2950000,ARB 2,ARB 3,FREE AGENT,,,
9,Tyler Wells,30.6,3.132,120752025,,2075000,ARB 3,ARB 4,FREE AGENT,,,
10,Kyle Bradish,28.5,2.160,12352025,,2350000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
