,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Tyler O'Neill,29.8,6.059,34952025272025,16500000,16500000,16500000,16500000,FREE AGENT,,,
1,Zach Eflin,31.0,8.018,341202325,16187251,18000000,FREE AGENT,,,,,
2,Charlie Morton,41.4,16.010,1152025,15000000,15000000,FREE AGENT,,,,,
3,Tomoyuki Sugano,35.5,,1132025,13000000,13000000,FREE AGENT,,,,,
4,Andrew Kittredge,35.0,6.070,11020252026,10000000,9000000,9000000,,,,,
5,Gary Sánchez,32.3,8.050,1852025,8500000,8500000,FREE AGENT,,,,,
6,Seranthony Domínguez,30.3,6.131,31475202325,8000000,8000000,FREE AGENT,,,,,
7,Ryan O'Hearn,31.7,6.002,2115202425,8000000,8000000,FREE AGENT,,,,,
8,Kyle Gibson,37.4,11.039,15252025,5250000,5250000,FREE AGENT,,,,,
9,Ramón Laureano,30.7,5.159,1420252026,4000000,4000000,6500000,,,,,
10,Jorge Mateo,29.8,5.000,135520252026,3550000,3550000,5500000,,,,,
11,Cionel Pérez,28.9,4.085,234202425,2200000,2200000,ARB 3,FREE AGENT,,,,
12,Félix Bautista,29.8,3.000,22202425,1000000,1000000,ARB 2,ARB 3,FREE AGENT,,,
