,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Ryan Mountcastle,28.1,2.105,173842023,,738400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Cole Irvin,31.1,2.120,173762023,,737600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Ramón Urías,30.8,2.025,173472023,,734700,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Tyler Wells,30.6,2.000,173242023,,732400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Cionel Pérez,28.9,2.085,173232023,,732300,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Keegan Akin,30.0,2.083,173112023,,731100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
6,Adley Rutschman,27.1,1.000,173392023,,733900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Dean Kremer,29.2,1.112,173122023,,731200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Bryan Baker,30.3,1.008,17292023,,729000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Kyle Bradish,28.5,0.160,172812023,,728100,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Gunnar Henderson,23.7,0.036,172322023,,723200,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
11,Yennier Cano,31.0,0.065,17222023,,722000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
12,Estimated salaries for other pre-arbitration players,4320000,,,,,,,,,,
