,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Manny Machado,32.7,10.056,11350202333,31818182,17090909,17090909,17090909,25090909,39090909,39090909,39090909
1,Xander Bogaerts,32.5,9.042,11280202333,25454545,25454545,25454545,25454545,25454545,25454545,25454545,25454545
2,Fernando Tatis Jr.,26.2,3.127,14338251202134202223,21287478,7476191,11714286,20714286,20714286,25714286,25714286,36714286
3,Joe Musgrove,32.3,6.063,5100202327,20000000,20000000,20000000,20000000,20000000,20000000,FREE AGENT,
4,Yu Darvish,38.6,11.000,61082023282024,18000000,25000000,16000000,21000000,16000000,15000000,15000000,FREE AGENT
5,Blake Snell,32.3,6.072,550201923,10000000,16600000,FREE AGENT,,,,,
6,Robert Suarez,34.1,1.000,5462023272025,9200000,10000000,10000000,10000000,8000000,8000000,FREE AGENT,
7,Nick Martinez,34.6,4.002,3262023232202425,8666667,10000000,8000000,8000000,,,,
8,Drew Pomeranz,36.3,10.013,434202023,8500000,10000000,FREE AGENT,,,,,
9,Rich Hill,45.0,13.127,182023,8000000,8000000,FREE AGENT,,,,,
10,Seth Lugo,35.4,6.082,2152023,7500000,7500000,7500000,,,,,
11,Ha-Seong Kim,29.4,2.000,428202124,7000000,7000000,8000000,8000000,,,,
12,Michael Wacha,33.7,9.062,42620232322023,6500000,7500000,6500000,6000000,6000000,,,
13,Matt Carpenter,39.3,10.145,212202324,6000000,6500000,5500000,FREE AGENT,,,,
14,Jake Cronenworth,31.2,3.000,142252023780202430,4225000,4225000,7285714,11285714,12285714,12285714,12285714,12285714
15,Luis García,38.2,7.007,27202223,3500000,3750000,FREE AGENT,,,,,
16,Gary Sánchez,32.3,6.086,11097202315,1096774,1096774,FREE AGENT,,,,,
