,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Chris Paddack,29.2,2.000,161092021,,610900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Tim Hill,35.1,2.112,15962021,,596000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Austin Adams,33.9,2.015,158022021,,580200,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,José Castillo,29.2,2.121,"1 yr, TBD (2021)",,TBD,ARB 2,ARB 3,ARB 4,FREE AGENT,,
4,Trent Grisham,28.4,1.060,158922021,,589200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Jake Cronenworth,31.2,1.000,158492021,,584900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Javy Guerra,29.5,1.052,157312021,,573100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Adrian Morejon,26.1,1.013,157292021,,572900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Austin Nola,35.2,1.106,157152021,,571500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Estimated salaries for other pre-arbitration players,0,,,,,,,,,,
