,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Trea Turner,31.7,6.135,11300202333,27272727,27272727,27272727,27272727,27272727,27272727,27272727,27272727
1,Bryce Harper,32.4,10.159,13330201931,25384615,27538462,27538462,27538462,27538462,27538462,27538462,23538462
2,Zack Wheeler,34.8,9.098,5118202024,23600000,24500000,23500000,FREE AGENT,,,,
3,J.T. Realmuto,34.0,8.038,51155202125,23100000,23875000,23875000,23875000,FREE AGENT,,,
4,Nick Castellanos,33.1,9.029,5100202226,20000000,20000000,20000000,20000000,20000000,FREE AGENT,,
5,Kyle Schwarber,32.1,7.086,479202225,19750000,20000000,20000000,20000000,FREE AGENT,,,
6,Taijuan Walker,32.6,8.142,472202326,18000000,18000000,18000000,18000000,18000000,FREE AGENT,,
7,Aaron Nola,31.8,7.076,55675201923,16000000,16000000,FREE AGENT,,,,,
8,Craig Kimbrel,36.8,11.161,1102023,10000000,10000000,FREE AGENT,,,,,
9,Michael Lorenzen,33.2,7.159,1852023,8500000,8500000,FREE AGENT,,,,,
10,Matt Strahm,33.4,6.064,2152023241752025202675602025,7500000,7500000,7500000,7500000,4500000,,,
11,José Alvarado,29.8,5.082,3222023252026,7333333,3466667,9016667,9016667,9000000,,,
12,Seranthony Domínguez,30.3,4.131,314752023252025,3625000,2500000,4250000,8000000,FREE AGENT,,,
