,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Alec Bohm,28.6,2.106,17482023,,748000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Nick Nelson,29.3,2.049,17452023,,745000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Garrett Stubbs,31.8,2.120,17412023,,741000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Connor Brogdon,30.2,2.067,173882023,,738750,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Andrew Bellatti,33.6,1.083,18592023,,859000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Brandon Marsh,27.3,1.078,173452023,,734500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Cristian Pache,26.3,1.031,"1 yr, TBD (2023)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Bryson Stott,27.5,0.171,173452023,,734500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Rodolfo Castro,25.8,0.127,17252023,,725000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Kody Clemens,28.9,0.120,17202023,,720000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
10,Estimated salaries for other pre-arbitration players,4320000,,,,,,,,,,
