,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Keone Kela,27.5,5.000,137252020,,3725000,FREE AGENT,,,,,
1,Josh Bell,28.1,3.053,1482020,,4800000,ARB 2,ARB 3,FREE AGENT,,,
2,Trevor Williams,28.4,3.027,128252020,,2825000,ARB 2,ARB 3,FREE AGENT,,,
3,Adam Frazier,28.8,3.075,1282020,,2800000,ARB 2,ARB 3,FREE AGENT,,,
4,Joe Musgrove,27.8,3.063,1282020,,2800000,ARB 2,ARB 3,FREE AGENT,,,
5,Jameson Taillon,28.9,3.110,12252020,,2250000,ARB 2,ARB 3,FREE AGENT,,,
6,Michael Feliz,27.0,3.169,1112020,,1100000,ARB 3,ARB 4,FREE AGENT,,,
7,John Ryan Murphy,29.4,3.122,19002020,,900000,ARB 3,ARB 4,FREE AGENT,,,
8,Luke Maile,29.7,3.099,19002020,900000,900000,ARB 2,ARB 3,FREE AGENT,,,
9,Chad Kuhl,28.1,3.079,18402020,,840000,ARB 2,ARB 3,FREE AGENT,,,
10,Erik González,29.1,3.007,17252020,,725000,ARB 2,ARB 3,FREE AGENT,,,
11,Nick Tropeano,30.1,3.105,12020,,MiLB,ARB 2,ARB 3,FREE AGENT,,,
