,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Mitch Keller,29.0,5.026,577202428,15400000,15411500,16911500,18411500,20411500,FREE AGENT,,
1,Bryan Reynolds,30.2,5.163,8106752023302031,13343750,12250000,14250000,15250000,15250000,15250000,15250000,20000000
2,Ke'Bryan Hayes,28.2,4.075,8702022292030,8750000,7000000,7000000,7000000,8000000,8000000,12000000,
3,Isiah Kiner-Falefa,30.0,7.000,215202425,7500000,7500000,FREE AGENT,,,,,
4,Andrew Heaney,33.8,9.150,15252025,5250000,5250000,FREE AGENT,,,,,
5,Andrew McCutchen,38.5,15.123,152025,5000000,5000000,FREE AGENT,,,,,
6,Tommy Pham,37.0,9.092,140252025,4025000,4025000,FREE AGENT,,,,,
7,Caleb Ferguson,28.7,6.093,132025,3000000,3000000,FREE AGENT,,,,,
8,Adam Frazier,33.3,8.075,115252025,1525000,1525000,FREE AGENT,,,,,
9,Tim Mayza,33.2,5.129,11152025,1150000,1150000,FREE AGENT,,,,,
