,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,JT Riddle,29.0,2.118,18502020,850000,850000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Richard Rodríguez,30.6,2.016,163352020,,633500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Colin Moran,28.0,2.107,159352020,,593500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Steven Brault,28.4,2.085,159052020,,590500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Kyle Crick,27.8,2.104,15902020,,590000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,José Osuna,27.8,2.069,158952020,,589500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
6,Chris Stratton,30.1,2.100,158852020,,588500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
7,Nick Burdi,27.7,2.000,157452020,,574500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
8,Kevin Newman,27.2,1.046,15892020,,589000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Jacob Stallings,30.8,1.149,158652020,,586500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
10,Bryan Reynolds,25.7,0.163,158952020,,589500,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
11,Ke'Bryan Hayes,23.7,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
12,Estimated salaries for other pre-arbitration players,,,,,4508000,,,,,,
