,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Max Scherzer,40.7,14.079,3130202224,43333333,43333333,43333334,FREE AGENT,,,,
1,Jacob deGrom,36.8,8.139,5185202327202837,37000000,30000000,40000000,40000000,38000000,37000000,20000000,
2,Corey Seager,30.9,7.032,10325202231,32500000,35500000,35000000,32500000,31500000,31500000,31500000,31500000
3,Marcus Semien,34.5,8.118,7175202228,25000000,26000000,26000000,26000000,26000000,26000000,20000000,FREE AGENT
4,Martín Pérez,34.0,10.038,119652023,19650000,19650000,FREE AGENT,,,,,
5,Nathan Eovaldi,35.1,11.013,354202324,17000000,17000000,17000000,20000000,,,,
6,Jon Gray,33.4,7.062,456202225,14000000,15000000,13000000,13000000,FREE AGENT,,,
7,Jake Odorizzi,35.0,9.042,3295202123,12500000,12500000,FREE AGENT,,,,,
8,Andrew Heaney,33.8,7.150,2252023242023,12500000,12000000,13000000,FREE AGENT,,,,
9,José Leclerc,31.3,6.041,626252019242024,6000000,6000000,6250000,FREE AGENT,,,,
10,Brad Miller,35.4,9.004,210202223,5000000,4000000,FREE AGENT,,,,,
11,Austin Hedges,32.6,6.166,152023,5000000,5000000,FREE AGENT,,,,,
12,Aroldis Chapman,37.1,12.009,13752023,3750000,3750000,FREE AGENT,,,,,
13,Robbie Grossman,35.5,8.060,122023,2000000,2000000,FREE AGENT,,,,,
14,Will Smith,35.7,9.155,1152023,1500000,1500000,FREE AGENT,,,,,
15,Travis Jankowski,33.8,5.028,11252023,1250000,1250000,FREE AGENT,,,,,
