,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Adolis García,32.1,2.095,174782023,,747760,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Jonah Heim,29.7,2.097,174572023,,745660,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Dane Dunning,30.3,2.083,174282023,,742840,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Brock Burke,28.6,2.065,174282023,,742840,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Josh Sborz,31.3,2.055,173352023,,733450,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Leody Taveras,26.5,1.124,173342023,,733445,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Josh Smith,27.6,0.111,172712023,,727095,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Ezequiel Duran,25.8,0.072,172422023,,724170,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Josh Jung,27.1,0.027,172152023,,721485,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,1440000,,,,,,,,,,
