,Player,Age,Service Time,Contract,AAV,2023,2024,2025,2026,2027,2028,2029
0,Robert Stephenson,32.1,5.049,11752023,,1750000,FREE AGENT,,,,,
1,Andrew Kittredge,35.0,4.070,120752023,,2075000,ARB 3,FREE AGENT,,,,
2,Jalen Beeks,31.7,4.070,113752023,,1375000,ARB 3,FREE AGENT,,,,
3,Shawn Armstrong,34.5,4.113,1122023,,1200000,ARB 3,FREE AGENT,,,,
4,Aaron Civale,29.8,3.058,1262023,,2600000,ARB 2,ARB 3,FREE AGENT,,,
5,Harold Ramírez,30.6,3.124,1222023,,2200000,ARB 2,ARB 3,FREE AGENT,,,
6,Christian Bethancourt,33.6,3.038,11352023,,1350000,ARB 2,ARB 3,FREE AGENT,,,
7,Colin Poche,31.2,3.109,111752023,,1175000,ARB 2,ARB 3,FREE AGENT,,,
8,Cole Sulser,35.0,3.028,"1 yr, TBD (2023)",,TBD,ARB 2,ARB 3,FREE AGENT,,,
9,Randy Arozarena,30.1,2.129,14152023,,4150000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
10,Jason Adam,33.6,2.132,117752023,,1775000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
