,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Nelson Cruz,44.7,13.082,1132021,13000000,13000000,FREE AGENT,,,,,
1,Kevin Kiermaier,34.9,6.131,6535201722,8916667,11666667,12166667,13000000,,,,
2,Chris Archer,36.5,7.156,1652021,6500000,6500000,FREE AGENT,,,,,
3,Brandon Lowe,30.7,2.058,7335201925202526,4000000,2500000,4000000,5250000,8750000,10500000,11500000,
4,Mike Zunino,34.0,6.165,29202122202241002021,3000000,2000000,7000000,FREE AGENT,,,,
5,Michael Wacha,33.7,7.062,132021,3000000,3000000,FREE AGENT,,,,,
6,Tommy Hunter,38.7,11.066,118152021225,1814550,1814550,FREE AGENT,,,,,
7,Collin McHugh,37.8,6.085,1182021,1800000,1800000,FREE AGENT,,,,,
8,Chaz Roe,38.5,5.094,11152021,1150000,1150000,FREE AGENT,,,,,
9,David Robertson,40.0,12.070,1526920212,526882,526882,FREE AGENT,,,,,
