,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Ji Man Choi,29.4,2.076,18502020,,850000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Joey Wendle,30.4,2.088,15762020,,575600,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,José Alvarado,25.4,2.088,15732020,,573100,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Willy Adames,25.1,1.105,157952020,,579500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Austin Meadows,25.4,1.074,157892020,,578900,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Ryan Yarbrough,28.8,1.147,157852020,,578500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Trevor Richards,27.4,1.142,157842020,,578400,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
7,Nick Anderson,30.3,1.000,15772020,,577300,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Yonny Chirinos,26.8,1.137,15772020,,576700,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
9,Yandy Díaz,29.2,1.122,15772020,,576600,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
10,Diego Castillo,26.7,1.118,15762020,,575800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
11,Jalen Beeks,27.2,1.070,157242020,,572400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
12,Andrew Kittredge,30.6,1.070,157122020,,571200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
13,Mike Brosseau,26.6,0.100,156852020,,568500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
14,Colin Poche,26.7,0.114,156842020,,568400,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
15,Pete Fairbanks,26.8,0.057,156472020,,564700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
16,Ryan Thompson,28.3,0.000,156352020,,563500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
17,Aaron Slegers,28.1,0.139,12020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
18,John Curtiss,27.5,0.078,12020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
19,Nathaniel Lowe,25.3,0.070,12020,,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
20,Randy Arozarena,25.6,0.048,12020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4
21,Estimated salaries for other pre-arbitration players,,,,,3381000,,,,,,
