,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Chris Sale,36.0,10.061,51452020242025,25600000,30000000,30000000,27500000,27500000,20000000,,
1,J.D. Martinez,37.6,9.036,5110201822,22000000,19375000,19375000,FREE AGENT,,,,
2,Xander Bogaerts,32.5,7.042,360202025,20000000,20000000,20000000,,,,,
3,Nathan Eovaldi,35.1,9.013,468201922,17000000,17000000,17000000,FREE AGENT,,,,
4,Garrett Richards,36.8,8.148,1102021,10000000,8500000,10000000,,,,,
5,Adam Ottavino,39.3,9.087,327201921,9000000,9000000,FREE AGENT,,,,,
6,Kyle Schwarber,32.1,5.086,1102021,7000000,7000000,11000000,,,,,
7,Enrique Hernández,33.6,6.054,214202122,7000000,6000000,8000000,FREE AGENT,,,,
8,Martín Pérez,34.0,8.038,152021,5000000,4500000,6000000,,,,,
9,Christian Vázquez,34.6,6.031,42032019222022,4516667,6250000,7000000,FREE AGENT,,,,
10,Matt Barnes,34.8,5.110,145202121875202223,4500000,4500000,8125000,8375000,8000000,,,
11,Hansel Robles,34.6,5.119,122021,2000000,2000000,FREE AGENT,,,,,
12,Travis Shaw,34.9,5.053,1152021,1500000,1500000,FREE AGENT,,,,,
13,Danny Santana,34.4,5.140,112862021175,1286486,1286486,FREE AGENT,,,,,
14,Hirokazu Sawamura,37.0,,343202122,1200000,1200000,1200000,1900000,,,,
15,Jose Iglesias,35.2,8.036,18592021,85882,85882,FREE AGENT,,,,,
