,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Rafael Devers,24.0,2.070,169252020,,692500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Ryan Brasier,33.1,2.109,158452020,,584500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Austin Brice,28.3,2.101,157352020,,573500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Andrew Triggs,31.6,2.123,12020,,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Alex Verdugo,24.4,1.078,160152020,,601500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Nick Pivetta,27.6,2.094,15882020,,588000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Christian Arroyo,25.4,1.064,156552020,,565500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Michael Chavis,25.2,0.164,15712020,,571000,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
8,Phillips Valdez,28.9,0.040,12020,,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Bobby Dalbec,25.3,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
10,Tanner Houck,24.3,0.000,156352020,,563500,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
11,Estimated salaries for other pre-arbitration players,,,,,6762000,,,,,,
