,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Michael Lorenzen,33.2,5.159,144382021,,4437500,FREE AGENT,,,,,
1,Mychal Givens,34.9,5.069,14052021,,4050000,FREE AGENT,,,,,
2,Tyler Naquin,33.9,4.033,1152021,,1500000,ARB 3,FREE AGENT,,,,
3,Delino DeShields,32.6,5.109,"1 yr, TBD (2021)",,TBD,ARB 3,FREE AGENT,,,,
4,Luis Castillo,32.3,3.101,1422021,,4200000,ARB 2,ARB 3,FREE AGENT,,,
5,Jesse Winker,31.6,3.080,13152021,,3150000,ARB 2,ARB 3,FREE AGENT,,,
6,Tyler Mahle,30.5,3.018,1222021,,2200000,ARB 2,ARB 3,FREE AGENT,,,
7,Amir Garrett,32.9,3.099,1152021,,1500000,ARB 2,ARB 3,FREE AGENT,,,
8,Luis Cessa,32.9,3.131,11052021,,1050000,ARB 2,ARB 3,FREE AGENT,,,
9,Kyle Farmer,34.6,2.129,11852021,,1850000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
