,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Joey Votto,41.5,13.027,10225201423,22500000,25000000,25000000,25000000,20000000,,,
1,Nick Castellanos,33.1,7.029,232202024,16400000,16000000,,,,FREE AGENT,,
2,Mike Moustakas,36.5,9.111,464202023,16000000,14000000,16000000,18000000,20000000,,,
3,Sonny Gray,35.4,7.061,4452020232023,10833333,10166667,11666667,12500000,FREE AGENT,,,
4,Eugenio Suárez,33.7,6.061,8792018252025,9428571,10785714,11285714,11285714,11285714,15000000,FREE AGENT,
5,Wade Miley,38.4,9.025,3242020222022,7500000,8000000,10000000,FREE AGENT,,,,
6,Shogo Akiyama,36.9,1.000,321202022,7000000,7000000,8000000,,,,,
7,Tucker Barnhart,34.2,6.075,5232018222022,4000000,4187500,7500000,FREE AGENT,,,,
8,Justin Wilson,37.6,8.035,25152021222022,2575000,2850000,2300000,FREE AGENT,,,,
9,Asdrúbal Cabrera,39.4,13.027,11752021,1750000,1750000,FREE AGENT,,,,,
