,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Luis Castillo,27.8,2.101,166352020,,663500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Tyler Mahle,26.0,2.018,16102020,,609793,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jesse Winker,27.1,2.080,16052020,,605000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Amir Garrett,28.4,2.099,15952020,,595000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Robert Stephenson,27.6,2.049,15922020,,592000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Matt Davidson,29.5,2.145,12020,,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,,
6,Lucas Sims,26.4,1.014,157752020,,577500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Kyle Farmer,30.1,1.129,15712020,,571000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
8,Nick Senzel,25.3,0.150,15702020,,570000,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
9,Estimated salaries for other pre-arbitration players,,,,,4508000,,,,,,
