,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Kris Bryant,33.2,9.171,7182202228,26000000,27000000,27000000,27000000,27000000,FREE AGENT,,
1,Kyle Freeland,31.9,7.144,56452022262027,12900000,16000000,16000000,17000000,,,,
2,Ryan McMahon,30.3,7.006,67020222720262025,11666667,12000000,16000000,16000000,FREE AGENT,,,
3,Antonio Senzatela,30.2,7.106,55052022262027,10100000,12000000,12000000,14000000,,,,
4,Germán Márquez,30.1,8.027,220202425,10000000,10000000,FREE AGENT,,,,,
5,Ezequiel Tovar,23.6,2.014,76352024302031,9071429,4214286,5214286,8214286,11214286,14214286,16214286,23000000
6,Thairo Estrada,29.1,4.153,1420252026,4000000,3250000,7000000,FREE AGENT,,,,
7,Kyle Farmer,34.6,6.129,132520252026,3250000,2500000,4000000,,,,,
8,Jacob Stallings,35.3,6.149,12520252026,2500000,2000000,2000000,,,,,
9,Tyler Kinley,34.1,6.014,36252023252026,2083333,3000000,5000000,,,,,
10,Scott Alexander,35.7,7.080,122025,2000000,2000000,FREE AGENT,,,,,
