,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Bobby Witt Jr.,24.8,3.000,112887782024342035372030203120322033,26252525,7707071,13707071,19707071,30707071,35707071,35707071,35707071
1,Salvador Perez,34.9,13.050,4822022252026,20500000,22000000,13500000,,,,,
2,Michael Wacha,33.7,11.062,3512025272028,17000000,18000000,18000000,14000000,14000000,,,
3,Seth Lugo,35.4,8.082,3452024252026,15000000,15000000,15000000,,,,,
4,Carlos Estévez,32.2,8.022,22222025262027,11100000,10100000,10100000,13000000,,,,
5,Jonathan India,28.3,4.000,21085202425,7050000,7050000,ARB 3,FREE AGENT,,,,
6,Michael Lorenzen,33.2,9.159,1720252026,7000000,5500000,12000000,,,,,
7,Hunter Renfroe,33.2,7.165,213202425,6500000,7500000,FREE AGENT,,,,,
8,Cole Ragans,27.3,2.029,31325202527,4416667,1083333,4583333,7583333,ARB 3,FREE AGENT,,
9,Chris Stratton,34.6,7.100,28202425,4000000,4500000,FREE AGENT,,,,,
10,Mark Canha,36.1,9.092,1142025,1400000,1400000,FREE AGENT,,,,,
11,Cavan Biggio,30.0,5.110,"1 yr, TBD (2025)",,TBD,FREE AGENT,,,,,
