,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Josh Staumont,31.3,2.072,17282022,,728000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Brady Singer,28.6,2.000,172632022,,726250,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Anthony Misiewicz,30.4,2.000,171492022,,714900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Kris Bubic,27.6,1.148,171382022,,713750,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Jake Brentz,30.5,1.000,171132022,,711250,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Daniel Lynch IV,28.4,0.083,170362022,,703600,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Dylan Coleman,28.5,0.014,170072022,,700650,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Bobby Witt Jr.,24.8,,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,MJ Melendez,26.3,,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
9,Estimated salaries for other pre-arbitration players,8400000,,,,,,,,,,
