,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Javier Báez,32.3,9.089,61402022272023,23333333,25000000,24000000,24000000,FREE AGENT,,,
1,Jack Flaherty,29.4,7.006,2352025202620152025,17500000,25000000,10000000,,,,,
2,Alex Cobb,37.5,13.061,1152025,15000000,15000000,FREE AGENT,,,,,
3,Gleyber Torres,28.3,6.162,1152025,15000000,15000000,FREE AGENT,,,,,
4,Kenta Maeda,37.0,9.000,224202425,12000000,10000000,FREE AGENT,,,,,
5,Tommy Kahnle,35.6,9.131,17752025,7750000,7750000,FREE AGENT,,,,,
6,Colt Keith,23.6,1.000,628643202429203032,4773750,3833333,4333333,4333333,5333333,5333333,10000000,13000000
7,John Brebbia,34.8,7.078,127520252026,2750000,2250000,4000000,,,,,
8,Manuel Margot,30.5,8.012,1132025200,1300000,1300000,FREE AGENT,,,,,
9,José Urquidy,29.9,5.049,1120252026,1000000,1000000,4000000,,,,,
