,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Gregory Soto,30.1,2.102,172242022,,722400,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Tyler Alexander,30.7,2.058,171692022,,716900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Willi Castro,27.9,2.017,"1 yr, TBD (2022)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Casey Mize,27.9,1.111,171422022,,714200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Tarik Skubal,28.3,1.114,171362022,,713600,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Eric Haase,32.3,1.072,171042022,,710400,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
6,Kyle Funkhouser,31.0,1.133,171022022,,710200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Jake Rogers,29.9,1.040,17062022,,706000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Alex Lange,29.5,0.112,170372022,,703700,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Riley Greene,24.5,,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
10,Estimated salaries for other pre-arbitration players,7000000,,,,,,,,,,
