,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Willi Castro,27.9,5.017,1642025,,6400000,FREE AGENT,,,,,
1,Ryan Jeffers,27.8,4.089,14552025,,4550000,ARB 3,FREE AGENT,,,,
2,Michael Tonkin,35.3,4.074,112025,,1000000,ARB 3,FREE AGENT,,,,
3,Jhoan Duran,27.2,3.000,141252025,,4125000,ARB 2,ARB 3,FREE AGENT,,,
4,Bailey Ober,29.7,3.093,13552025,,3550000,ARB 2,ARB 3,FREE AGENT,,,
5,Joe Ryan,28.8,3.033,132025,,3000000,ARB 2,ARB 3,FREE AGENT,,,
6,Griffin Jax,30.3,3.091,123652025,,2365000,ARB 2,ARB 3,FREE AGENT,,,
7,Trevor Larnach,28.1,3.014,1212025,,2100000,ARB 2,ARB 3,FREE AGENT,,,
8,Brock Stewart,33.5,3.093,18702025,,870000,ARB 2,ARB 3,FREE AGENT,,,
9,Royce Lewis,25.8,2.142,116252025,,1625000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
