,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Carlos Correa,30.5,6.119,1351202224,35100000,35100000,35100000,35100000,FREE AGENT,,,
1,Byron Buxton,31.3,5.160,7100202228,14285714,9142857,15142857,15142857,15142857,15142857,15142857,15142857
2,Sonny Gray,35.4,8.061,4452020232023,11500000,11666667,12500000,FREE AGENT,,,,
3,Miguel Sanó,31.9,6.066,330202022,10000000,10583333,14000000,,,,,
4,Max Kepler,32.1,5.152,6442019242024,7000000,6750000,8500000,10000000,FREE AGENT,,,
5,Jorge Polanco,31.7,5.024,6362019242024,5150000,5000000,7500000,10500000,12000000,,,
6,Dylan Bundy,32.4,6.026,152022,5000000,4000000,11000000,,,,,
7,Chris Archer,36.5,8.156,1352022,3500000,2750000,10000000,,,,,
8,Kenta Maeda,37.0,6.000,826201623,3250000,3125000,3125000,FREE AGENT,,,,
9,Randy Dobnak,30.2,2.043,5925202125202628,1850000,800000,1500000,2250000,3000000,6000000,7000000,8500000
