,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Jorge Alcala,29.7,2.014,171792022,,717900,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Ryan Jeffers,27.8,1.089,171312022,,713050,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Alex Kirilloff,27.4,0.165,170832022,,708250,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
3,Bailey Ober,29.7,0.124,170622022,,706200,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
4,Joe Ryan,28.8,0.033,170172022,,701650,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
5,Trevor Larnach,28.1,0.101,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Jhoan Duran,27.2,0.000,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
7,Griffin Jax,30.3,0.091,17002022,,700000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
8,Jose Miranda,26.7,,17002022,,700000,Pre-ARB,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3
9,Estimated salaries for other pre-arbitration players,2800000,,,,,,,,,,
